ID,Milk,PetFood,Veggies,Cereal,Nuts,Rice,Meat,Eggs,Yogurt,Chips,Cola,Fruit
2,8,3,9,9,5,7,2,4,7,3,4,1
3,10,3,8,9,5,8,6,4,3,3,1,4
17,8,4,9,9,6,7,5,6,1,1,2,4
4,9,3,9,10,5,9,6,6,6,1,2,5
25,9,5,9,9,5,8,6,5,6,3,3,6
145,9,5,8,8,4,7,6,6,6,1,4,7
55,7,4,8,9,5,7,4,4,4,2,3,4
79,8,2,8,10,4,9,5,6,5,3,2,5
99,8,4,8,9,3,8,5,5,6,3,3,4
120,9,3,9,8,3,9,6,5,5,3,4,5
154,8,4,8,9,3,8,4,5,3,3,2,5
161,8,4,8,7,3,8,5,6,4,3,2,5
136,7,4,8,10,4,9,6,6,4,3,4,5
70,8,4,8,9,4,9,3,7,6,4,3,4
163,9,6,9,10,2,8,5,5,4,3,2,6
12,9,4,7,9,3,7,4,6,5,1,1,7
68,10,3,8,9,2,7,5,6,5,1,1,6
48,9,5,7,9,4,9,3,8,5,2,2,6
52,9,5,8,9,4,8,4,9,5,3,3,6
9,7,2,6,10,3,8,4,6,5,2,2,6
28,8,6,6,9,6,7,5,7,7,1,2,5
51,10,5,7,9,7,8,4,6,8,2,4,5
177,9,6,7,9,5,8,4,6,8,1,4,5
66,9,5,6,9,5,7,3,5,7,2,3,5
85,9,5,8,9,5,7,3,6,7,0,3,4
114,9,6,7,8,6,8,2,8,7,2,4,5
74,7,5,7,10,4,9,4,7,7,2,4,6
188,8,5,6,10,5,9,3,7,6,2,4,5
98,10,4,7,9,4,6,1,6,5,1,4,5
124,9,5,8,9,3,6,2,6,5,2,3,6
116,8,3,8,10,3,6,2,5,7,2,2,6
150,9,4,8,10,2,7,2,4,6,1,3,7
172,10,5,7,10,5,7,2,4,7,0,3,6
26,10,5,6,10,3,7,4,5,5,3,5,5
113,9,6,7,9,2,7,4,7,4,2,6,5
158,8,5,8,9,3,8,3,5,5,4,6,5
198,9,4,5,10,5,7,2,6,5,3,2,6
44,9,6,7,9,5,6,5,8,5,1,3,4
73,9,4,6,10,5,5,5,7,5,1,4,3
78,10,4,7,9,6,5,4,6,6,2,5,3
122,9,5,9,9,5,5,5,6,6,2,5,3
132,10,6,7,10,4,5,7,8,6,3,3,4
11,6,6,7,9,3,6,4,4,6,1,3,5
211,6,6,6,10,2,6,2,5,7,2,3,5
90,7,4,6,8,3,6,4,3,8,2,4,5
22,8,5,6,8,2,8,4,3,6,2,4,3
93,6,3,7,9,6,7,4,7,6,3,3,4
160,8,3,9,10,2,5,4,6,7,3,3,5
179,10,6,8,9,2,7,4,8,4,3,3,4
6,8,6,9,9,0,8,4,8,7,0,3,5
15,8,7,8,8,2,8,4,7,7,1,2,6
218,9,6,8,7,3,8,5,6,7,1,1,5
151,8,6,10,6,2,8,4,7,6,1,3,4
43,10,7,9,8,5,7,2,6,6,1,1,5
205,10,7,7,10,5,6,3,6,6,0,2,4
27,9,4,6,9,3,6,4,7,9,1,3,6
65,9,3,5,10,5,9,5,7,7,2,2,5
16,8,7,5,10,4,7,7,6,7,3,2,6
219,9,7,7,10,6,7,6,6,6,2,4,8
33,7,9,8,10,4,9,5,6,6,1,3,5
212,8,8,8,10,5,8,5,4,5,2,5,5
102,6,4,6,8,7,6,6,4,3,1,2,4
206,7,4,5,9,5,7,5,5,5,2,1,4
121,8,4,8,10,7,7,4,4,5,1,1,3
139,10,6,5,10,6,6,4,5,7,2,3,2
191,9,5,6,9,8,7,4,5,5,3,2,1
56,10,6,7,9,6,9,4,4,4,0,4,5
71,8,5,8,10,6,8,5,6,4,4,5,3
5,8,4,6,8,2,10,4,6,2,3,4,6
162,10,3,6,9,3,9,5,7,3,1,4,5
57,8,3,8,10,7,10,4,7,3,1,4,7
217,9,2,7,10,5,9,5,8,3,4,3,7
21,8,6,7,7,3,6,6,9,5,0,1,6
82,10,7,7,9,3,5,6,7,3,2,2,5
129,9,8,7,10,5,5,5,7,4,1,1,7
112,10,5,7,8,5,6,5,8,2,1,2,7
94,9,3,7,9,5,5,1,7,3,1,5,5
170,9,4,9,10,5,6,2,5,3,2,5,4
127,9,7,8,10,5,6,2,8,3,1,4,4
203,8,6,6,10,6,6,1,6,2,3,4,4
174,8,6,9,10,4,4,3,8,6,2,2,5
80,10,5,10,8,2,5,7,6,3,2,3,5
164,8,5,8,9,1,5,4,4,4,2,5,4
178,9,5,9,8,3,4,5,3,4,4,5,6
157,9,7,6,6,5,7,3,5,7,2,3,7
89,9,3,9,9,3,8,3,5,3,3,1,7
106,9,2,7,9,2,9,1,5,5,0,2,8
171,9,4,7,9,2,10,2,3,4,1,1,6
76,8,6,6,10,2,5,2,7,6,2,5,3
30,8,6,8,7,5,10,4,4,7,2,1,3
105,9,6,5,9,2,9,4,5,6,3,0,3
117,9,3,7,10,5,8,6,7,8,3,1,1
128,10,4,8,9,7,8,4,5,8,4,0,4
123,10,5,8,9,2,7,5,3,9,1,3,5
111,8,2,10,10,5,8,3,7,4,1,0,5
153,9,8,7,10,3,8,3,7,10,3,2,2
176,7,7,9,9,2,8,3,7,6,4,2,2
149,8,5,10,7,5,10,2,6,7,4,4,5
97,8,7,6,10,5,8,4,8,2,3,1,3
87,8,5,7,8,6,9,7,4,6,5,3,6
119,6,6,9,9,6,8,5,4,5,6,4,8
92,10,3,9,10,7,10,3,7,5,0,4,3
108,9,3,8,9,9,6,4,6,6,2,6,4
222,9,4,4,10,4,7,4,9,3,0,4,4
135,7,6,6,10,5,8,4,9,5,2,7,7
53,9,4,8,10,0,7,6,9,7,1,1,5
19,6,2,6,8,0,8,4,6,5,4,2,6
8,9,9,8,8,4,8,6,6,2,4,3,7
187,7,6,10,10,3,8,8,3,5,2,5,7
29,7,3,10,10,4,6,5,1,5,4,2,3
107,10,5,5,8,7,4,4,9,1,0,1,3
